date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:46	15473/15473	---M--	200	added ('OK')	image/png	etag:%2234ad6dd8ca0f0aabd379e98d8ba6040d%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/62c487d49d9a6731bfaacd46_best-ui-white.png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/62c487d49d9a6731bfaacd46_best-ui-white.png	(from https://www.genrevv.com/)
16:39:46	16177/16177	---M--	200	added ('OK')	image/png	etag:%220a3d80cbad8136e8dbafcb0af933cc94%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/62c487d6bd976773154d0daa_best-innovation-white.png	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/62c487d6bd976773154d0daa_best-innovation-white.png	(from https://www.genrevv.com/)
16:39:47	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:51%20GMT	https://www.genrevv.com/terms-conditions	C:/My%20Web%20Sites/ww/www.genrevv.com/terms-conditions	(from https://www.genrevv.com/)
16:39:48	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:52%20GMT	https://www.genrevv.com/privacy-policy	C:/My%20Web%20Sites/ww/www.genrevv.com/privacy-policy	(from https://www.genrevv.com/)
16:39:48	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=627a8fdf90f5dae1452b948b	C:/My%20Web%20Sites/ww/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8e877.js	(from https://www.genrevv.com/)
16:39:49	365182/365182	---M-Z	200	added ('OK')	text/javascript	etag:%229280ca63bafb326e9b3b4a238716cabc%22	https://uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/js/webflow.c0f4f3d48.js	C:/My%20Web%20Sites/ww/uploads-ssl.webflow.com/627a8fdf90f5dae1452b948b/js/webflow.c0f4f3d48.js	(from https://www.genrevv.com/)
16:40:15	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:53%20GMT	https://www.genrevv.com/six	C:/My%20Web%20Sites/ww/www.genrevv.com/six.html	(from https://www.genrevv.com/)
16:40:15	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:54%20GMT	https://www.genrevv.com/terms-conditions	C:/My%20Web%20Sites/ww/www.genrevv.com/terms-conditions	(from https://www.genrevv.com/)
16:40:15	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:54%20GMT	https://www.genrevv.com/privacy-policy	C:/My%20Web%20Sites/ww/www.genrevv.com/privacy-policy	(from https://www.genrevv.com/)
16:40:15	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:09:54%20GMT	https://www.genrevv.com/contact-us	C:/My%20Web%20Sites/ww/www.genrevv.com/contact-us	(from https://www.genrevv.com/)
16:40:38	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:10:16%20GMT	https://www.genrevv.com/six	C:/My%20Web%20Sites/ww/www.genrevv.com/six.html	(from https://www.genrevv.com/)
16:40:38	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:10:17%20GMT	https://www.genrevv.com/terms-conditions	C:/My%20Web%20Sites/ww/www.genrevv.com/terms-conditions	(from https://www.genrevv.com/)
16:40:38	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:10:17%20GMT	https://www.genrevv.com/contact-us	C:/My%20Web%20Sites/ww/www.genrevv.com/contact-us	(from https://www.genrevv.com/)
16:40:38	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2016%20Aug%202022%2011:10:17%20GMT	https://www.genrevv.com/privacy-policy	C:/My%20Web%20Sites/ww/www.genrevv.com/privacy-policy	(from https://www.genrevv.com/)
